index,times,temperature,humidity,winddirection,windpower,rains,waterlevels63002501,rains63002550,waterlevels63002550,waterlevels
2021-02-26 00:00:00,226.0,10.0,96.0,6,2.0,1.0,4.52,0.0,113.11,3.97
2021-02-26 01:00:00,226.01,10.0,95.0,5,2.0,0.0,4.52,0.5,113.1,3.97
2021-02-26 02:00:00,226.02,10.0,95.0,7,1.0,0.0,4.52,0.0,113.09,3.97
2021-02-26 03:00:00,226.03,10.0,95.0,3,2.0,0.0,4.52,0.0,113.08,3.97
2021-02-26 04:00:00,226.04,9.0,96.0,7,3.0,1.0,4.52,0.5,113.07,3.97
2021-02-26 05:00:00,226.05,9.0,95.0,1,3.0,0.5,4.52,0.0,113.06,3.97
2021-02-26 06:00:00,226.06,9.0,95.0,8,2.0,0.0,4.52,0.0,113.05,3.97
2021-02-26 07:00:00,226.07,9.0,97.0,8,2.0,0.5,4.52,0.0,113.05,3.97
2021-02-26 08:00:00,226.08,9.0,97.0,7,2.0,0.0,4.52,0.0,113.04,3.97
2021-02-26 09:00:00,226.09,9.0,97.0,7,2.0,0.5,4.52,0.5,113.03,3.97
2021-02-26 10:00:00,226.1,9.0,96.0,8,3.0,1.0,4.52,1.0,113.02,3.98
2021-02-26 11:00:00,226.11,10.0,95.0,1,2.0,1.0,4.52,0.5,113.01,3.98
2021-02-26 12:00:00,226.12,10.0,95.0,8,2.0,1.5,4.53,1.0,113.02,3.98
2021-02-26 13:00:00,226.13,10.0,95.0,7,2.0,0.5,4.53,0.0,113.02,3.98
2021-02-26 14:00:00,226.14,10.0,95.0,6,2.0,0.5,4.53,0.0,113.01,3.99
2021-02-26 15:00:00,226.15,9.0,95.0,7,2.0,0.5,4.53,0.0,113.01,3.99
2021-02-26 16:00:00,226.16,9.0,96.0,7,2.0,0.5,4.53,0.5,113.01,3.99
2021-02-26 17:00:00,226.17,9.0,96.0,8,2.0,1.0,4.53,0.0,113.02,3.99
2021-02-26 18:00:00,226.18,9.0,96.0,8,2.0,0.0,4.54,0.0,113.02,3.99
2021-02-26 19:00:00,226.19,9.0,98.0,7,2.0,0.5,4.54,0.0,113.02,4.0
2021-02-26 20:00:00,226.2,9.0,97.0,8,2.0,0.5,4.54,0.5,113.02,4.0
2021-02-26 21:00:00,226.21,9.0,96.0,7,3.0,0.5,4.54,0.5,113.03,4.0
2021-02-26 22:00:00,226.22,9.0,97.0,8,1.0,0.5,4.54,0.0,113.03,4.0
2021-02-26 23:00:00,226.23,10.0,95.0,5,2.0,0.0,4.54,0.0,113.04,4.0
2021-02-27 00:00:00,227.0,10.0,94.0,7,2.0,0.0,4.54,0.0,113.04,4.0
2021-02-27 01:00:00,227.01,10.0,95.0,7,2.0,0.5,4.54,0.0,113.05,4.0
2021-02-27 02:00:00,227.02,10.0,92.0,7,2.0,0.0,4.54,0.0,113.05,4.01
2021-02-27 03:00:00,227.03,10.0,92.0,1,2.0,0.5,4.54,0.0,113.05,4.01
2021-02-27 04:00:00,227.04,10.0,92.0,7,1.0,0.0,4.54,0.0,113.05,4.01
2021-02-27 05:00:00,227.05,10.0,89.0,7,1.0,0.0,4.54,0.0,113.05,4.01
2021-02-27 06:00:00,227.06,10.0,92.0,5,1.0,0.0,4.54,0.5,113.05,4.01
2021-02-27 07:00:00,227.07,10.0,87.0,6,1.0,0.0,4.54,0.0,113.05,4.01
2021-02-27 08:00:00,227.08,10.0,85.0,8,2.0,0.0,4.53,0.0,113.05,4.01
2021-02-27 09:00:00,227.09,10.0,84.0,8,2.0,0.0,4.53,0.0,113.05,4.01
2021-02-27 10:00:00,227.1,10.0,86.0,6,1.0,0.0,4.53,0.0,113.05,4.01
2021-02-27 11:00:00,227.11,10.0,87.0,5,1.0,0.0,4.53,0.0,113.05,4.01
2021-02-27 12:00:00,227.12,11.0,84.0,6,2.0,0.0,4.53,0.0,113.06,4.01
2021-02-27 13:00:00,227.13,11.0,82.0,8,1.0,0.0,4.53,0.0,113.06,4.01
2021-02-27 14:00:00,227.14,11.0,83.0,6,2.0,0.0,4.53,0.0,113.06,4.01
2021-02-27 15:00:00,227.15,12.0,85.0,6,1.0,0.0,4.53,0.0,113.06,4.01
2021-02-27 16:00:00,227.16,12.0,83.0,5,1.0,0.0,4.53,0.0,113.06,4.01
2021-02-27 17:00:00,227.17,12.0,83.0,5,1.0,0.0,4.53,0.0,113.06,4.01
2021-02-27 18:00:00,227.18,12.0,85.0,6,1.0,0.0,4.53,0.0,113.06,4.01
2021-02-27 19:00:00,227.19,11.0,91.0,6,1.0,0.0,4.53,0.0,113.06,4.01
2021-02-27 20:00:00,227.2,11.0,94.0,6,1.0,0.0,4.53,0.0,113.07,4.01
2021-02-27 21:00:00,227.21,11.0,97.0,1,1.0,0.0,4.53,0.0,113.08,4.01
2021-02-27 22:00:00,227.22,11.0,98.0,1,1.0,0.5,4.53,0.0,113.09,4.01
2021-02-27 23:00:00,227.23,9.0,94.0,7,2.0,0.0,4.53,0.0,113.09,4.01
2021-02-28 00:00:00,228.0,11.0,99.0,7,1.0,0.0,4.53,0.0,113.09,4.01
2021-02-28 01:00:00,228.01,11.0,99.0,1,1.0,0.0,4.53,0.0,113.1,4.01
2021-02-28 02:00:00,228.02,11.0,99.0,6,1.0,0.5,4.53,0.5,113.11,4.01
2021-02-28 03:00:00,228.03,11.0,99.0,7,1.0,0.0,4.53,0.0,113.11,4.01
2021-02-28 04:00:00,228.04,11.0,99.0,1,1.0,0.0,4.53,0.0,113.11,4.01
2021-02-28 05:00:00,228.05,11.0,99.0,6,1.0,0.0,4.52,0.0,113.12,4.01
2021-02-28 06:00:00,228.06,11.0,99.0,8,1.0,0.0,4.52,0.0,113.12,4.01
2021-02-28 07:00:00,228.07,11.0,100.0,1,1.0,0.0,4.52,0.0,113.13,4.01
2021-02-28 08:00:00,228.08,11.0,100.0,3,1.0,0.0,4.52,0.0,113.13,4.01
2021-02-28 09:00:00,228.09,12.0,99.0,1,1.0,0.0,4.52,0.0,113.13,4.01
2021-02-28 10:00:00,228.1,12.0,98.0,3,1.0,0.0,4.52,0.0,113.14,4.01
2021-02-28 11:00:00,228.11,12.0,95.0,3,1.0,0.0,4.52,0.0,113.15,4.01
2021-02-28 12:00:00,228.12,13.0,91.0,3,2.0,0.0,4.52,0.0,113.16,4.0
2021-02-28 13:00:00,228.13,14.0,84.0,3,2.0,0.0,4.52,0.0,113.16,4.0
2021-02-28 14:00:00,228.14,14.0,86.0,5,1.0,0.0,4.52,0.0,113.17,4.0
2021-02-28 15:00:00,228.15,15.0,80.0,2,1.0,0.0,4.52,0.0,113.18,4.0
2021-02-28 16:00:00,228.16,15.0,79.0,3,1.0,0.0,4.52,0.0,113.18,4.0
2021-02-28 17:00:00,228.17,15.0,83.0,2,1.0,0.0,4.52,0.0,113.19,4.0
2021-02-28 18:00:00,228.18,14.0,87.0,2,1.0,0.0,4.52,0.0,113.19,4.0
2021-02-28 19:00:00,228.19,14.0,91.0,2,1.0,0.0,4.52,0.0,113.2,4.0
2021-02-28 20:00:00,228.2,13.0,93.0,2,1.0,0.0,4.52,0.0,113.2,4.0
2021-02-28 21:00:00,228.21,13.0,93.0,2,1.0,0.0,4.52,0.0,113.21,4.0
2021-02-28 22:00:00,228.22,13.0,94.0,2,1.0,0.0,4.52,0.0,113.22,4.0
2021-02-28 23:00:00,228.23,11.0,99.0,7,1.0,0.0,4.52,0.0,113.23,4.0
2021-03-01 00:00:00,301.0,13.0,95.0,2,1.0,1.0,4.52,1.0,113.23,4.0
2021-03-01 01:00:00,301.01,13.0,97.0,1,1.0,2.5,4.52,2.5,113.24,4.0
2021-03-01 02:00:00,301.02,13.0,98.0,3,1.0,0.5,4.53,0.5,113.25,4.0
2021-03-01 03:00:00,301.03,13.0,98.0,5,1.0,0.0,4.53,0.0,113.25,4.0
2021-03-01 04:00:00,301.04,13.0,98.0,3,1.0,0.0,4.53,0.0,113.25,4.0
2021-03-01 05:00:00,301.05,13.0,98.0,4,1.0,0.0,4.53,0.0,113.26,4.0
2021-03-01 06:00:00,301.06,13.0,98.0,3,1.0,0.0,4.53,0.0,113.26,4.0
2021-03-01 07:00:00,301.07,13.0,98.0,5,1.0,0.0,4.53,0.0,113.26,4.0
2021-03-01 08:00:00,301.08,13.0,98.0,6,1.0,0.0,4.53,0.0,113.27,4.0
2021-03-01 09:00:00,301.09,14.0,97.0,6,1.0,1.0,4.53,1.0,113.27,4.0
2021-03-01 10:00:00,301.1,14.0,96.0,7,1.0,0.0,4.53,0.0,113.27,4.0
2021-03-01 11:00:00,301.11,14.0,94.0,7,1.0,0.0,4.53,0.5,113.27,4.0
2021-03-01 12:00:00,301.12,14.0,96.0,6,1.0,0.0,4.53,0.0,113.27,4.0
2021-03-01 13:00:00,301.13,13.0,96.0,6,1.0,3.0,4.53,1.0,113.28,4.0
2021-03-01 14:00:00,301.14,12.0,96.0,5,1.0,0.0,4.55,0.5,113.29,4.0
2021-03-01 15:00:00,301.15,12.0,94.0,5,2.0,1.0,4.55,0.5,113.29,4.0
2021-03-01 16:00:00,301.16,13.0,91.0,6,2.0,0.0,4.55,0.0,113.3,4.0
2021-03-01 17:00:00,301.17,12.0,87.0,5,2.0,0.0,4.55,0.5,113.3,4.0
2021-03-01 18:00:00,301.18,10.0,94.0,5,2.0,1.0,4.55,0.5,113.31,4.01
2021-03-01 19:00:00,301.19,9.0,91.0,7,3.0,0.5,4.55,0.5,113.32,4.01
2021-03-01 20:00:00,301.2,8.0,90.0,6,2.0,0.5,4.55,1.0,113.33,4.02
2021-03-01 21:00:00,301.21,8.0,92.0,7,2.0,1.0,4.55,0.5,113.34,4.02
2021-03-01 22:00:00,301.22,8.0,90.0,6,2.0,1.0,4.55,0.5,113.34,4.03
2021-03-01 23:00:00,301.23,13.0,93.0,8,1.0,0.5,4.55,0.0,113.35,4.03
2021-03-02 00:00:00,302.0,7.0,92.0,6,2.0,0.5,4.55,0.5,113.36,4.04
2021-03-02 01:00:00,302.01,7.0,92.0,6,2.0,0.5,4.55,0.0,113.37,4.04
2021-03-02 02:00:00,302.02,7.0,87.0,7,2.0,0.0,4.55,0.0,113.38,4.04
2021-03-02 03:00:00,302.03,7.0,84.0,5,2.0,0.0,4.54,0.0,113.38,4.04
2021-03-02 04:00:00,302.04,7.0,84.0,7,2.0,0.0,4.54,0.0,113.39,4.04
2021-03-02 05:00:00,302.05,6.0,84.0,5,2.0,0.0,4.54,0.0,113.4,4.04
2021-03-02 06:00:00,302.06,6.0,84.0,5,1.0,0.0,4.54,0.0,113.4,4.04
2021-03-02 07:00:00,302.07,6.0,82.0,5,2.0,0.0,4.54,0.0,113.41,4.04
2021-03-02 08:00:00,302.08,6.0,81.0,6,3.0,0.0,4.54,0.0,113.43,4.04
2021-03-02 09:00:00,302.09,6.0,75.0,5,2.0,0.0,4.54,0.0,113.44,4.04
2021-03-02 10:00:00,302.1,7.0,70.0,5,2.0,0.0,4.54,0.0,113.45,4.05
2021-03-02 11:00:00,302.11,8.0,60.0,5,2.0,0.0,4.54,0.0,113.47,4.05
2021-03-02 12:00:00,302.12,9.0,54.0,5,2.0,0.0,4.53,0.0,113.48,4.05
2021-03-02 13:00:00,302.13,11.0,45.0,7,2.0,0.0,4.53,0.0,113.5,4.05
2021-03-02 14:00:00,302.14,11.0,39.0,2,2.0,0.0,4.53,0.0,113.52,4.05
2021-03-02 15:00:00,302.15,11.0,37.0,8,2.0,0.0,4.53,0.0,113.54,4.05
2021-03-02 16:00:00,302.16,11.0,45.0,8,2.0,1.5,4.53,0.0,113.55,4.05
2021-03-02 17:00:00,302.17,10.0,50.0,1,1.0,0.0,4.53,0.0,113.57,4.05
2021-03-02 18:00:00,302.18,9.0,56.0,8,1.0,0.0,4.53,0.0,113.58,4.05
2021-03-02 19:00:00,302.19,9.0,58.0,1,1.0,0.0,4.53,0.0,113.59,4.05
2021-03-02 20:00:00,302.2,8.0,59.0,1,1.0,0.0,4.53,0.0,113.61,4.05
2021-03-02 21:00:00,302.21,8.0,64.0,2,1.0,0.0,4.53,0.0,113.62,4.05
2021-03-02 22:00:00,302.22,7.0,67.0,1,1.0,0.0,4.53,0.0,113.63,4.05
2021-03-02 23:00:00,302.23,7.0,91.0,5,1.0,0.0,4.53,0.0,113.65,4.05
2021-03-03 00:00:00,303.0,8.0,68.0,2,1.0,0.0,4.53,0.0,113.66,4.05
2021-03-03 01:00:00,303.01,7.0,68.0,2,1.0,0.0,4.53,0.0,113.67,4.05
2021-03-03 02:00:00,303.02,8.0,76.0,2,2.0,0.0,4.53,0.0,113.68,4.05
2021-03-03 03:00:00,303.03,7.0,77.0,2,1.0,0.0,4.53,0.0,113.69,4.05
2021-03-03 04:00:00,303.04,7.0,76.0,2,1.0,0.0,4.53,0.0,113.7,4.05
2021-03-03 05:00:00,303.05,6.0,78.0,8,1.0,0.0,4.53,0.0,113.7,4.05
2021-03-03 06:00:00,303.06,7.0,74.0,2,1.0,0.0,4.53,0.0,113.71,4.04
2021-03-03 07:00:00,303.07,7.0,76.0,2,2.0,0.0,4.53,0.0,113.72,4.04
2021-03-03 08:00:00,303.08,8.0,67.0,2,2.0,0.0,4.53,0.0,113.73,4.04
2021-03-03 09:00:00,303.09,9.0,67.0,2,2.0,0.0,4.53,0.0,113.73,4.04
2021-03-03 10:00:00,303.1,9.0,67.0,2,2.0,0.0,4.53,0.0,113.75,4.04
2021-03-03 11:00:00,303.11,9.0,68.0,2,2.0,0.0,4.53,0.0,113.74,4.04
2021-03-03 12:00:00,303.12,10.0,65.0,2,1.0,0.0,4.53,0.0,113.75,4.04
2021-03-03 13:00:00,303.13,10.0,61.0,3,1.0,0.0,4.53,0.0,113.76,4.04
2021-03-03 14:00:00,303.14,10.0,64.0,2,2.0,0.0,4.53,0.0,113.76,4.04
2021-03-03 15:00:00,303.15,10.0,62.0,1,1.0,0.0,4.53,0.0,113.77,4.04
2021-03-03 16:00:00,303.16,10.0,65.0,2,1.0,0.0,4.53,0.0,113.77,4.04
2021-03-03 17:00:00,303.17,10.0,67.0,1,1.0,0.0,4.53,0.0,113.77,4.04
2021-03-03 18:00:00,303.18,10.0,69.0,1,1.0,0.0,4.53,0.0,113.78,4.04
2021-03-03 19:00:00,303.19,10.0,79.0,2,1.0,0.0,4.53,0.0,113.78,4.04
2021-03-03 20:00:00,303.2,9.0,86.0,1,1.0,0.0,4.53,0.0,113.78,4.04
2021-03-03 21:00:00,303.21,9.0,88.0,7,0.0,0.0,4.53,0.0,113.79,4.04
2021-03-03 22:00:00,303.22,9.0,91.0,7,1.0,0.0,4.53,0.5,113.79,4.04
2021-03-03 23:00:00,303.23,8.0,64.0,2,1.0,0.5,4.53,0.0,113.8,4.04
2021-03-04 00:00:00,304.0,8.0,91.0,5,1.0,0.0,4.53,0.5,113.8,4.03
2021-03-04 01:00:00,304.01,8.0,94.0,5,1.0,0.5,4.53,0.5,113.81,4.03
2021-03-04 02:00:00,304.02,8.0,96.0,5,1.0,0.5,4.53,0.5,113.81,4.03
2021-03-04 03:00:00,304.03,8.0,97.0,4,1.0,0.0,4.53,0.0,113.81,4.03
2021-03-04 04:00:00,304.04,8.0,97.0,3,1.0,0.0,4.53,0.0,113.81,4.03
2021-03-04 05:00:00,304.05,8.0,97.0,4,0.0,0.0,4.53,0.0,113.82,4.03
2021-03-04 06:00:00,304.06,8.0,97.0,5,1.0,0.0,4.53,0.0,113.82,4.03
2021-03-04 07:00:00,304.07,8.0,95.0,5,1.0,0.0,4.53,0.0,113.82,4.03
2021-03-04 08:00:00,304.08,8.0,94.0,5,1.0,0.0,4.53,0.0,113.83,4.03
2021-03-04 09:00:00,304.09,10.0,84.0,5,1.0,0.0,4.53,0.0,113.83,4.03
2021-03-04 10:00:00,304.1,13.0,70.0,4,2.0,0.0,4.53,0.0,113.83,4.02
2021-03-04 11:00:00,304.11,14.0,67.0,4,1.0,0.0,4.53,0.0,113.84,4.02
2021-03-04 12:00:00,304.12,15.0,64.0,7,2.0,0.0,4.53,0.0,113.84,4.02
2021-03-04 13:00:00,304.13,15.0,62.0,6,2.0,0.0,4.53,0.0,113.84,4.02
2021-03-04 14:00:00,304.14,16.0,62.0,7,2.0,0.0,4.53,0.0,113.85,4.02
2021-03-04 15:00:00,304.15,16.0,63.0,1,1.0,0.0,4.53,0.0,113.85,4.02
2021-03-04 16:00:00,304.16,17.0,56.0,5,1.0,0.0,4.53,0.0,113.85,4.02
2021-03-04 17:00:00,304.17,16.0,55.0,1,1.0,0.0,4.53,0.0,113.85,4.02
2021-03-04 18:00:00,304.18,15.0,62.0,2,1.0,0.0,4.53,0.0,113.85,4.02
2021-03-04 19:00:00,304.19,13.0,68.0,1,1.0,0.0,4.53,0.0,113.85,4.02
2021-03-04 20:00:00,304.2,13.0,68.0,1,1.0,0.0,4.53,0.0,113.85,4.02
2021-03-04 21:00:00,304.21,12.0,72.0,2,1.0,0.0,4.53,0.0,113.85,4.02
2021-03-04 22:00:00,304.22,11.0,78.0,4,1.0,0.0,4.53,0.0,113.85,4.02
2021-03-04 23:00:00,304.23,9.0,93.0,6,1.0,0.0,4.53,0.0,113.85,4.02
2021-03-05 00:00:00,305.0,10.0,85.0,3,1.0,0.0,4.53,0.0,113.85,4.02
2021-03-05 01:00:00,305.01,9.0,90.0,8,1.0,0.0,4.53,0.0,113.85,4.02
2021-03-05 02:00:00,305.02,9.0,94.0,1,1.0,0.0,4.53,0.0,113.85,4.02
2021-03-05 03:00:00,305.03,9.0,89.0,8,1.0,0.0,4.53,0.0,113.85,4.02
2021-03-05 04:00:00,305.04,9.0,91.0,7,1.0,0.0,4.53,0.0,113.85,4.02
2021-03-05 05:00:00,305.05,9.0,90.0,1,1.0,0.0,4.53,0.0,113.85,4.02
2021-03-05 06:00:00,305.06,9.0,93.0,8,1.0,0.0,4.53,0.0,113.85,4.02
2021-03-05 07:00:00,305.07,9.0,96.0,1,1.0,0.0,4.53,0.0,113.86,4.02
2021-03-05 08:00:00,305.08,10.0,91.0,2,1.0,0.0,4.53,0.0,113.86,4.02
2021-03-05 09:00:00,305.09,12.0,83.0,1,1.0,0.0,4.53,0.0,113.86,4.02
2021-03-05 10:00:00,305.1,12.0,74.0,2,2.0,0.0,4.53,0.0,113.86,4.01
2021-03-05 11:00:00,305.11,13.0,74.0,1,1.0,0.0,4.53,0.0,113.86,4.01
2021-03-05 12:00:00,305.12,13.0,73.0,2,1.0,0.0,4.53,0.0,113.86,4.01
2021-03-05 13:00:00,305.13,13.0,82.0,1,1.0,0.0,4.53,0.0,113.86,4.01
2021-03-05 14:00:00,305.14,13.0,79.0,2,1.0,0.5,4.53,0.5,113.87,4.01
2021-03-05 15:00:00,305.15,12.0,83.0,2,2.0,0.5,4.53,0.5,113.87,4.01
2021-03-05 16:00:00,305.16,12.0,88.0,2,1.0,0.0,4.53,0.0,113.88,4.01
2021-03-05 17:00:00,305.17,12.0,91.0,2,1.0,0.5,4.53,0.0,113.88,4.01
2021-03-05 18:00:00,305.18,12.0,88.0,2,1.0,0.0,4.53,0.0,113.89,4.01
2021-03-05 19:00:00,305.19,12.0,81.0,2,1.0,0.0,4.53,0.0,113.89,4.01
2021-03-05 20:00:00,305.2,12.0,77.0,2,1.0,0.0,4.53,0.0,113.89,4.01
2021-03-05 21:00:00,305.21,12.0,83.0,7,1.0,0.0,4.53,0.5,113.89,4.01
2021-03-05 22:00:00,305.22,11.0,90.0,1,1.0,2.0,4.53,1.0,113.9,4.01
2021-03-05 23:00:00,305.23,11.0,78.0,3,1.0,0.0,4.53,0.5,113.91,4.01
2021-03-06 00:00:00,306.0,11.0,98.0,2,1.0,0.5,4.53,0.0,113.91,4.01
2021-03-06 01:00:00,306.01,11.0,96.0,1,1.0,0.0,4.53,0.0,113.91,4.01
2021-03-06 02:00:00,306.02,11.0,91.0,1,1.0,0.0,4.53,0.0,113.92,4.01
2021-03-06 03:00:00,306.03,11.0,94.0,2,1.0,0.0,4.53,0.0,113.92,4.01
2021-03-06 04:00:00,306.04,11.0,94.0,1,2.0,0.0,4.53,0.5,113.92,4.01
2021-03-06 05:00:00,306.05,10.0,97.0,2,2.0,2.0,4.54,1.0,113.93,4.01
2021-03-06 06:00:00,306.06,10.0,97.0,2,2.0,1.0,4.54,2.0,113.93,4.01
2021-03-06 07:00:00,306.07,10.0,96.0,2,2.0,2.0,4.54,2.0,113.93,4.01
2021-03-06 08:00:00,306.08,10.0,97.0,8,2.0,2.5,4.55,0.5,113.93,4.01
2021-03-06 09:00:00,306.09,10.0,96.0,1,2.0,0.0,4.55,0.0,113.94,4.01
2021-03-06 10:00:00,306.1,10.0,94.0,1,2.0,0.0,4.55,0.5,113.94,4.01
2021-03-06 11:00:00,306.11,10.0,91.0,8,2.0,0.5,4.55,0.0,113.95,4.01
2021-03-06 12:00:00,306.12,11.0,83.0,1,2.0,0.0,4.55,0.0,113.95,4.02
2021-03-06 13:00:00,306.13,11.0,82.0,8,2.0,0.0,4.55,0.0,113.96,4.02
2021-03-06 14:00:00,306.14,11.0,80.0,7,2.0,0.0,4.55,0.0,113.97,4.02
2021-03-06 15:00:00,306.15,11.0,80.0,6,2.0,0.0,4.54,0.0,113.99,4.02
2021-03-06 16:00:00,306.16,11.0,78.0,1,2.0,0.0,4.54,0.0,114.0,4.02
2021-03-06 17:00:00,306.17,11.0,81.0,8,2.0,0.0,4.54,0.0,114.02,4.02
2021-03-06 18:00:00,306.18,10.0,88.0,1,2.0,1.0,4.54,1.0,114.03,4.02
2021-03-06 19:00:00,306.19,9.0,88.0,1,2.0,0.5,4.54,0.0,114.05,4.02
2021-03-06 20:00:00,306.2,9.0,91.0,8,2.0,0.5,4.54,1.0,114.07,4.03
2021-03-06 21:00:00,306.21,8.0,90.0,8,2.0,0.5,4.54,1.0,114.09,4.03
2021-03-06 22:00:00,306.22,8.0,90.0,8,3.0,0.5,4.54,0.0,114.1,4.03
2021-03-06 23:00:00,306.23,11.0,96.0,1,1.0,0.5,4.54,1.0,114.12,4.03
2021-03-07 00:00:00,307.0,7.0,90.0,7,2.0,0.0,4.54,0.0,114.14,4.03
2021-03-07 01:00:00,307.01,7.0,89.0,7,2.0,0.5,4.54,0.0,114.15,4.03
2021-03-07 02:00:00,307.02,7.0,92.0,5,1.0,0.0,4.54,0.0,114.17,4.03
2021-03-07 03:00:00,307.03,7.0,92.0,5,1.0,0.0,4.54,0.0,114.18,4.04
2021-03-07 04:00:00,307.04,7.0,95.0,6,2.0,0.0,4.54,0.0,114.19,4.04
2021-03-07 05:00:00,307.05,7.0,97.0,7,2.0,1.0,4.54,1.5,114.21,4.04
2021-03-07 06:00:00,307.06,7.0,96.0,8,2.0,2.0,4.54,0.5,114.22,4.04
2021-03-07 07:00:00,307.07,6.0,96.0,5,2.0,0.0,4.54,0.0,114.23,4.04
2021-03-07 08:00:00,307.08,6.0,96.0,6,1.0,0.5,4.54,1.5,114.25,4.04
2021-03-07 09:00:00,307.09,6.0,97.0,5,1.0,1.5,4.54,1.0,114.27,4.04
2021-03-07 10:00:00,307.1,6.0,96.0,5,1.0,0.5,4.54,0.0,114.29,4.04
2021-03-07 11:00:00,307.11,7.0,96.0,5,2.0,0.0,4.54,0.5,114.3,4.04
2021-03-07 12:00:00,307.12,7.0,95.0,5,1.0,0.0,4.54,0.5,114.32,4.04
2021-03-07 13:00:00,307.13,7.0,97.0,5,2.0,0.5,4.54,0.5,114.34,4.04
2021-03-07 14:00:00,307.14,7.0,96.0,5,2.0,0.0,4.54,0.0,114.37,4.05
2021-03-07 15:00:00,307.15,7.0,96.0,6,1.0,0.0,4.54,0.5,114.39,4.05
2021-03-07 16:00:00,307.16,7.0,97.0,5,2.0,0.5,4.54,0.5,114.41,4.05
2021-03-07 17:00:00,307.17,7.0,98.0,6,1.0,0.0,4.54,0.0,114.43,4.05
2021-03-07 18:00:00,307.18,7.0,98.0,5,1.0,0.0,4.54,0.5,114.45,4.05
2021-03-07 19:00:00,307.19,7.0,97.0,5,1.0,0.0,4.54,0.0,114.47,4.05
2021-03-07 20:00:00,307.2,7.0,98.0,5,1.0,0.0,4.54,0.0,114.5,4.05
2021-03-07 21:00:00,307.21,7.0,98.0,5,1.0,0.0,4.54,0.0,114.52,4.05
2021-03-07 22:00:00,307.22,7.0,98.0,5,1.0,0.0,4.54,0.0,114.55,4.05
2021-03-07 23:00:00,307.23,8.0,90.0,8,2.0,0.0,4.54,0.0,114.57,4.06
2021-03-08 00:00:00,308.0,7.0,99.0,5,1.0,0.0,4.54,0.0,114.6,4.06
2021-03-08 01:00:00,308.01,7.0,99.0,5,1.0,0.0,4.54,0.0,114.62,4.06
2021-03-08 02:00:00,308.02,7.0,99.0,6,1.0,0.0,4.54,0.0,114.63,4.06
2021-03-08 03:00:00,308.03,7.0,99.0,7,1.0,0.0,4.54,0.0,114.65,4.06
2021-03-08 04:00:00,308.04,7.0,99.0,5,1.0,0.0,4.54,0.0,114.67,4.06
2021-03-08 05:00:00,308.05,7.0,100.0,5,1.0,0.0,4.54,0.0,114.68,4.07
